;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
8404;2;1;1;0;1;8;1;0;5;0;0;1;0;0;5;0;3;0;0;6;2;5;1;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;33;0;5;2;10;5.333333333333333
8405;2;0;1;0;1;2;1;0;2;2;0;1;3;0;1;0;4;2;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;17;0;0;1;6;3.857142857142857
8406;6;5;3;0;9;21;4;0;9;4;0;0;5;1;7;0;8;3;0;7;9;13;4;1;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;81;0;4;1;10;4.6923076923076925
8407;6;1;0;0;4;11;2;2;4;2;0;1;5;1;3;0;9;2;0;6;4;7;1;2;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;49;0;2;3;8;4.388888888888889
8408;8;3;2;0;5;10;0;0;3;3;0;2;5;2;8;0;3;1;0;1;5;3;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;43;0;0;5;8;3.888888888888889
8409;6;0;0;0;3;3;0;0;4;2;0;0;0;0;2;0;1;2;0;4;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;20;0;2;4;9;5.571428571428571
8410;3;2;0;0;0;2;0;1;1;2;0;0;0;1;3;0;2;0;0;4;3;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;19;0;1;3;9;5.0
8411;2;0;1;0;0;4;0;2;2;1;0;1;2;0;2;0;2;1;0;1;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;18;0;0;1;7;4.5
8412;1;1;0;0;1;5;1;2;1;3;0;1;1;2;5;0;7;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;22;0;0;2;11;6.0
8413;5;0;1;0;2;4;0;3;8;9;0;2;2;2;7;0;3;2;0;6;7;10;2;0;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;57;0;5;2;9;4.5
