;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
3054;2;0;0;0;0;6;1;1;0;4;1;0;2;2;4;0;3;1;0;3;3;6;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;22;26;0;0;2;9;3.7142857142857144
3055;4;0;3;0;4;21;0;1;1;9;1;0;4;3;8;0;9;3;1;4;14;10;10;4;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;63;2;1;1;9;4.88
3056;2;0;2;0;2;3;1;0;1;3;0;0;1;1;3;0;1;0;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;1;8;4.333333333333333
3057;20;1;11;0;6;38;1;1;2;19;1;0;17;6;16;0;14;9;4;14;33;11;19;1;0;2;1;0;1;2;0;0;0;3;0;2;0;2;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;121;145;2;2;3;15;4.491803278688525
3058;6;0;2;0;0;3;0;0;2;5;0;0;0;0;8;0;6;3;2;3;11;5;8;3;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;33;42;0;2;1;9;5.615384615384615
3059;1;0;4;0;4;7;1;0;0;3;0;0;0;2;6;0;7;1;0;5;7;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;33;0;2;1;13;6.5
3060;5;0;1;0;0;6;2;1;0;2;0;0;0;2;4;0;2;1;1;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;21;0;0;2;8;4.1
3061;4;0;2;0;3;4;0;2;1;2;1;0;2;2;3;0;3;0;0;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;23;0;1;1;8;4.1
3062;8;0;1;0;1;9;2;1;0;6;2;0;5;1;4;0;2;2;1;4;2;2;4;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;32;1;0;2;9;4.466666666666667
3063;3;0;0;0;1;6;1;0;0;1;1;0;2;1;2;0;4;1;2;2;5;2;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;21;0;0;1;10;5.571428571428571
3064;7;0;7;0;6;19;0;1;1;12;0;0;5;6;12;0;19;5;2;14;15;4;9;6;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;86;3;5;3;14;4.6571428571428575
3065;4;2;3;0;3;12;0;0;1;5;1;0;0;2;9;0;7;2;1;4;9;3;7;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;38;45;0;0;2;16;5.176470588235294
3066;2;0;1;1;0;6;1;0;0;3;1;0;1;3;3;0;3;1;0;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;0;0;1;10;6.0
3067;7;1;3;0;2;10;2;1;1;5;0;0;2;4;7;0;6;2;0;4;11;6;5;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;49;1;2;1;11;5.6
3068;3;0;2;0;2;6;0;0;0;3;1;0;0;2;6;0;5;2;0;3;3;5;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23;28;0;1;1;15;7.285714285714286
3069;10;0;3;0;2;6;1;0;0;7;0;0;3;2;6;0;9;5;0;7;7;6;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;43;1;0;1;11;6.3076923076923075
3070;5;2;5;0;2;13;3;0;2;10;0;0;5;4;11;0;11;4;2;8;16;7;11;2;0;1;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;78;0;3;1;15;7.333333333333333
3071;11;0;4;1;4;12;1;1;1;7;0;0;2;1;8;0;2;0;2;6;4;10;4;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;48;1;2;1;20;8.6
3072;31;2;11;0;14;42;6;4;4;27;2;1;19;7;20;0;14;4;3;23;24;21;17;4;0;3;2;0;0;2;0;2;0;0;0;0;0;1;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;178;4;5;4;14;6.148148148148148
3073;17;2;10;0;8;31;4;2;4;19;3;0;15;8;21;0;21;6;1;17;34;12;21;2;0;0;1;0;0;3;0;1;0;3;0;1;0;2;0;0;0;1;6;1;0;0;0;0;0;0;0;0;0;1;0;1;0;121;158;3;3;3;27;4.982142857142857
3074;5;1;1;0;2;10;1;0;1;2;0;0;4;1;4;0;3;1;0;3;9;4;2;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;35;0;1;1;10;5.2727272727272725
3075;10;0;5;0;3;11;2;1;1;7;0;0;4;3;9;0;4;1;0;5;6;7;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;48;0;2;1;17;5.9375
3076;0;0;2;0;0;5;1;0;0;3;0;0;3;2;5;0;3;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;17;0;1;1;7;4.666666666666667
3077;2;0;0;0;2;2;1;0;0;4;0;0;2;0;3;0;2;2;0;3;1;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;19;0;1;1;7;4.25
3078;2;0;0;0;1;3;0;0;0;3;1;0;1;0;2;0;0;3;1;4;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;14;1;1;1;11;4.5
3079;2;0;1;0;0;2;2;0;0;1;0;0;1;0;1;0;2;1;0;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;13;0;0;1;7;4.4
3080;5;1;2;0;3;21;2;2;1;5;1;0;4;1;12;0;8;1;3;9;14;5;9;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;64;0;0;1;14;6.157894736842105
3081;4;0;0;0;1;5;2;0;0;3;1;0;1;0;3;0;1;1;2;2;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;1;1;1;8;3.6363636363636362
3082;15;2;8;0;6;25;3;1;3;16;0;0;8;4;22;0;17;2;3;14;16;9;12;3;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;90;108;1;2;4;14;5.219512195121951
3083;14;0;3;0;6;18;1;3;1;11;1;0;5;6;14;0;8;2;0;11;14;9;5;4;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;64;83;1;1;3;14;5.535714285714286
3084;1;0;0;0;0;6;2;0;0;1;0;0;2;2;3;0;2;2;1;4;2;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;20;0;0;1;10;4.857142857142857
3085;13;1;8;0;5;21;0;0;2;8;1;0;7;1;9;0;11;5;6;7;11;12;15;2;0;0;1;1;0;2;0;0;0;1;0;0;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;73;83;4;0;2;13;4.075
3086;6;0;5;1;2;18;0;0;1;6;0;0;7;6;9;0;6;5;2;6;6;7;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;59;0;1;2;13;6.866666666666666
3087;4;0;2;0;5;21;3;1;0;7;2;0;1;2;7;0;4;3;3;14;7;6;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;58;0;0;2;14;5.333333333333333
3088;5;0;1;0;4;14;0;0;1;6;0;0;1;4;6;0;6;2;0;8;13;3;6;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;40;45;1;0;1;13;5.235294117647059
3089;1;1;1;0;1;3;0;0;1;3;1;0;0;1;2;0;2;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;12;1;0;1;10;3.5
3090;8;2;4;0;3;13;2;2;1;10;0;0;7;2;5;0;6;4;2;6;10;8;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;60;1;2;1;10;5.095238095238095
3091;5;0;3;0;1;5;1;0;1;5;0;0;3;1;5;0;2;1;0;3;1;2;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;25;0;0;1;11;6.428571428571429
3092;20;3;7;0;7;37;3;3;4;14;0;0;11;15;17;0;11;6;4;14;17;17;12;7;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;103;139;2;1;2;26;6.25
3093;7;2;2;0;4;24;5;2;0;12;0;0;6;3;11;0;5;2;1;10;2;10;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;63;1;1;1;13;4.961538461538462
3094;2;1;0;0;1;1;3;1;1;2;0;0;1;0;4;0;2;0;0;3;2;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;12;22;0;2;2;11;3.6
3095;1;0;2;0;0;5;0;0;0;1;0;0;3;1;3;0;3;1;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;0;1;1;10;4.0
3096;2;0;0;0;0;4;0;0;0;3;1;0;1;0;0;0;1;2;2;3;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;13;0;0;1;13;8.666666666666666
3097;4;0;1;0;2;7;0;0;1;3;0;0;0;1;3;0;1;1;0;5;2;3;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;22;0;0;1;12;6.5
3098;3;0;1;0;1;2;0;0;1;4;0;0;2;1;2;0;1;0;1;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;16;0;0;1;6;4.142857142857143
3099;11;1;2;0;4;25;11;3;2;14;0;0;8;7;11;0;8;4;1;11;14;11;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;91;0;3;1;16;5.0606060606060606
3100;4;2;2;0;6;13;0;1;2;6;1;0;3;1;6;0;6;2;2;5;11;5;9;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;42;53;0;1;1;16;5.9375
3101;7;0;4;0;1;8;1;0;1;2;0;0;4;0;4;0;1;3;0;4;8;1;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;35;0;0;1;10;5.6
3102;18;1;8;0;7;32;3;3;2;17;2;0;5;10;15;0;12;3;5;9;14;17;11;1;0;3;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;97;109;4;2;4;20;5.461538461538462
3103;16;4;4;0;8;28;1;4;1;10;1;1;7;8;13;0;7;3;1;17;21;11;8;4;0;1;2;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;74;115;1;6;4;13;5.485714285714286
3104;18;1;8;0;2;17;2;0;4;12;1;0;7;3;13;0;14;4;0;13;12;13;7;2;0;1;0;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;73;90;0;4;1;13;5.354838709677419
3105;15;1;8;0;6;26;3;2;0;14;1;1;6;4;13;0;13;7;3;15;14;18;14;6;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;88;112;1;5;2;13;5.513513513513513
3106;5;0;4;0;4;19;0;3;0;7;3;0;5;8;5;0;5;2;1;7;10;7;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;47;60;0;2;1;17;5.5
3107;2;0;0;0;1;0;1;1;0;5;0;0;1;0;1;0;0;1;0;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;12;0;0;1;8;5.75
3108;4;0;1;0;0;6;0;0;0;10;1;0;2;6;8;0;12;3;3;4;12;7;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;48;0;0;4;9;4.666666666666667
3109;20;2;9;0;9;42;2;1;1;27;0;0;22;4;18;0;16;9;6;22;28;24;17;5;0;0;1;0;1;1;0;1;0;4;0;0;0;3;0;1;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;132;170;0;4;7;18;5.2
3110;4;0;0;0;0;9;0;0;0;4;0;0;6;4;4;0;2;3;1;2;2;5;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;29;1;1;1;10;5.5
3111;11;2;3;0;3;14;1;1;1;7;1;0;3;4;9;0;6;5;0;8;7;10;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;47;60;1;2;1;15;6.6875
3112;7;0;3;0;3;15;2;0;2;2;1;0;6;1;5;0;6;3;1;8;4;0;8;2;0;1;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;44;1;0;1;10;5.5
